label    x        y       
1        0.555    0.674   
2        0.166    0.905   
3        0.093    0.068   
4        0.353    0.361   
5        0.100    0.890   
6        0.622    0.687   
7        0.375    0.577   
8        0.966    0.791   
9        0.966    0.859   
10       0.128    0.966   
11       0.271    0.966   
12       0.477    0.184   
13       0.601    0.129   
14       0.871    0.102   
15       0.514    0.034   
16       0.299    0.890   
17       0.253    0.093   
18       0.899    0.802   
19       0.034    0.644   
20       0.794    0.528   
21       0.145    0.437   
22       0.660    0.436   
23       0.381    0.299   
24       0.966    0.927   
25       0.128    0.710   
26       0.151    0.034   
27       0.871    0.514   
28       0.591    0.372   
29       0.287    0.034   
30       0.034    0.872   
31       0.193    0.691   
32       0.130    0.369   
33       0.177    0.757   
34       0.966    0.371   
35       0.929    0.315   
36       0.722    0.850   
37       0.442    0.966   
38       0.868    0.581   
39       0.414    0.901   
40       0.360    0.861   
41       0.282    0.482   
42       0.966    0.440   
43       0.309    0.726   
44       0.447    0.458   
45       0.136    0.642   
46       0.910    0.966   
47       0.244    0.746   
48       0.321    0.427   
49       0.811    0.133   
50       0.240    0.159   
51       0.145    0.568   
52       0.899    0.432   
53       0.781    0.691   
54       0.569    0.868   
55       0.288    0.208   
56       0.602    0.808   
57       0.658    0.966   
58       0.196    0.966   
59       0.034    0.034   
60       0.872    0.034   
61       0.449    0.052   
62       0.786    0.295   
63       0.219    0.034   
64       0.592    0.440   
65       0.388    0.419   
66       0.233    0.910   
67       0.126    0.502   
68       0.286    0.368   
69       0.083    0.597   
70       0.260    0.679   
71       0.863    0.179   
72       0.575    0.739   
73       0.665    0.739   
74       0.034    0.804   
75       0.670    0.807   
76       0.515    0.413   
77       0.226    0.424   
78       0.174    0.112   
79       0.209    0.234   
80       0.824    0.952   
81       0.952    0.236   
82       0.888    0.882   
83       0.208    0.832   
84       0.803    0.841   
85       0.557    0.203   
86       0.835    0.751   
87       0.432    0.635   
88       0.615    0.278   
89       0.858    0.361   
90       0.124    0.193   
91       0.536    0.506   
92       0.418    0.128   
93       0.653    0.191   
94       0.952    0.048   
95       0.390    0.726   
96       0.294    0.563   
97       0.741    0.768   
98       0.671    0.355   
99       0.335    0.649   
100      0.785    0.048   
101      0.362    0.497   
102      0.115    0.810   
103      0.351    0.952   
104      0.368    0.048   
105      0.300    0.288   
106      0.942    0.142   
107      0.729    0.134   
108      0.690    0.048   
109      0.704    0.571   
110      0.595    0.048   
111      0.764    0.374   
112      0.870    0.663   
113      0.862    0.266   
114      0.129    0.288   
115      0.213    0.612   
116      0.064    0.431   
117      0.952    0.710   
118      0.208    0.517   
119      0.703    0.666   
120      0.048    0.337   
121      0.214    0.329   
122      0.521    0.115   
123      0.048    0.952   
124      0.299    0.806   
125      0.496    0.904   
126      0.369    0.217   
127      0.521    0.802   
128      0.426    0.814   
129      0.439    0.356   
130      0.709    0.268   
131      0.616    0.605   
132      0.785    0.211   
133      0.631    0.512   
134      0.453    0.262   
135      0.648    0.885   
136      0.952    0.520   
137      0.578    0.952   
138      0.952    0.615   
139      0.447    0.540   
140      0.732    0.931   
141      0.048    0.136   
142      0.791    0.610   
143      0.484    0.714   
144      0.048    0.524   
145      0.324    0.134   
146      0.521    0.600   
147      0.729    0.480   
148      0.048    0.724   
149      0.529    0.319   
150      0.819    0.451   
