label	x	y
1	0.814957	0.665095
2	0.287736	0.943318
3	0.259322	0.114395
4	0.824132	0.868684
5	0.331817	0.687466
6	0.430572	0.375639
7	0.034940	0.254442
8	0.655334	0.845821
9	0.600756	0.352925
10	0.095002	0.401024
11	0.480684	0.957328
12	0.374576	0.438319
13	0.191438	0.512061
14	0.527388	0.051318
15	0.888584	0.361043
16	0.960060	0.065140
17	0.737821	0.028619
18	0.574454	0.132281
19	0.962495	0.349495
20	0.378363	0.209356
21	0.393439	0.635631
22	0.031811	0.407296
23	0.045408	0.708793
24	0.254304	0.186105
25	0.746371	0.805966
26	0.833985	0.060366
27	0.322874	0.605549
28	0.097097	0.294274
29	0.196565	0.150286
30	0.615918	0.068447
31	0.930797	0.850774
32	0.374639	0.746836
33	0.300643	0.773620
34	0.129202	0.962446
35	0.854000	0.293504
36	0.499047	0.260054
37	0.428036	0.883793
38	0.345245	0.371809
39	0.734947	0.443280
40	0.451009	0.746696
41	0.369636	0.119465
42	0.524927	0.416126
43	0.053414	0.160551
44	0.776018	0.153424
45	0.731870	0.891095
46	0.750635	0.614881
47	0.265705	0.335997
48	0.316428	0.056120
49	0.853055	0.722295
50	0.204154	0.945076
51	0.687916	0.116394
52	0.941763	0.741066
53	0.498490	0.823900
54	0.397047	0.811327
55	0.052396	0.947181
56	0.134331	0.887739
57	0.127974	0.109091
58	0.764171	0.717663
59	0.896553	0.662120
60	0.945138	0.429330
61	0.119664	0.522899
62	0.215974	0.758010
63	0.531388	0.198244
64	0.959467	0.947054
65	0.577218	0.701600
66	0.250897	0.571568
67	0.056609	0.475953
68	0.636302	0.637959
69	0.434106	0.283666
70	0.233939	0.853955
71	0.054731	0.339298
72	0.508853	0.332793
73	0.583543	0.798233
74	0.716612	0.238741
75	0.950234	0.170933
76	0.531199	0.576337
77	0.425565	0.055796
78	0.772288	0.518181
79	0.474575	0.554702
80	0.645597	0.267543
81	0.852900	0.606100
82	0.149493	0.263836
83	0.566478	0.273573
84	0.801717	0.569554
85	0.441313	0.478725
86	0.151365	0.799467
87	0.736572	0.085971
88	0.141503	0.189247
89	0.789412	0.053531
90	0.687210	0.548179
91	0.897035	0.041359
92	0.797217	0.362641
93	0.339022	0.514533
94	0.098592	0.832295
95	0.698929	0.652394
96	0.092306	0.228055
97	0.536581	0.497711
98	0.481809	0.649919
99	0.315684	0.154956
100	0.722853	0.963524
101	0.569880	0.913384
102	0.491911	0.126173
103	0.045689	0.864780
104	0.848324	0.449847
105	0.298883	0.244111
106	0.678630	0.043635
107	0.055828	0.564034
108	0.380609	0.951511
109	0.061387	0.640096
110	0.153409	0.603335
111	0.211877	0.250049
112	0.912230	0.585949
113	0.630731	0.448750
114	0.407796	0.569533
115	0.968568	0.628368
116	0.136138	0.705504
117	0.565707	0.627387
118	0.801751	0.618731
119	0.701522	0.343865
120	0.604133	0.551465
121	0.128878	0.036374
122	0.599437	0.206929
123	0.858316	0.530704
124	0.334660	0.868586
125	0.425102	0.141203
126	0.298717	0.428208
127	0.457812	0.203339
128	0.665464	0.739379
129	0.861447	0.209769
130	0.210493	0.056525
131	0.879780	0.121353
132	0.650632	0.942219
133	0.797118	0.949621
134	0.501237	0.890988
135	0.844920	0.788511
136	0.661832	0.169705
137	0.879735	0.941095
138	0.142747	0.445221
139	0.061349	0.777958
140	0.048780	0.058558
141	0.781661	0.265493
142	0.160675	0.346582
143	0.358815	0.302079
144	0.519165	0.741208
145	0.945291	0.517767
146	0.938369	0.270727
147	0.261372	0.491710
148	0.410391	0.692176
149	0.218367	0.422177
150	0.242081	0.671485
