label           x               y              
1               0.056           0.948          
2               0.017           0.852          
3               0.086           0.834          
4               0.132           0.948          
5               0.227           0.954          
6               0.202           0.892          
7               0.237           0.828          
8               0.298           0.950          
9               0.187           0.785          
10              0.310           0.834          
11              0.360           0.907          
12              0.383           0.962          
13              0.429           0.968          
14              0.031           0.732          
15              0.142           0.713          
16              0.081           0.665          
17              0.041           0.611          
18              0.153           0.611          
19              0.242           0.673          
20              0.304           0.672          
21              0.345           0.741          
22              0.411           0.777          
23              0.429           0.852          
24              0.471           0.924          
25              0.533           0.935          
26              0.577           0.881          
27              0.560           0.799          
28              0.470           0.766          
29              0.540           0.714          
30              0.503           0.677          
31              0.400           0.683          
32              0.379           0.584          
33              0.254           0.602          
34              0.307           0.534          
35              0.431           0.598          
36              0.194           0.543          
37              0.221           0.482          
38              0.142           0.500          
39              0.051           0.482          
40              0.145           0.424          
41              0.233           0.431          
42              0.307           0.446          
43              0.425           0.482          
44              0.487           0.518          
45              0.503           0.604          
46              0.606           0.746          
47              0.644           0.832          
48              0.638           0.948          
49              0.683           0.870          
50              0.716           0.943          
51              0.768           0.979          
52              0.739           0.883          
53              0.821           0.929          
54              0.871           0.986          
55              0.906           0.954          
56              0.955           0.937          
57              0.923           0.900          
58              0.886           0.827          
59              0.790           0.813          
60              0.698           0.744          
61              0.617           0.662          
62              0.571           0.598          
63              0.718           0.672          
64              0.791           0.676          
65              0.817           0.726          
66              0.912           0.748          
67              0.968           0.788          
68              0.062           0.332          
69              0.159           0.370          
70              0.244           0.348          
71              0.201           0.303          
72              0.041           0.227          
73              0.090           0.173          
74              0.243           0.199          
75              0.304           0.228          
76              0.360           0.259          
77              0.365           0.341          
78              0.402           0.407          
79              0.449           0.343          
80              0.487           0.411          
81              0.547           0.402          
82              0.552           0.467          
83              0.609           0.516          
84              0.648           0.562          
85              0.689           0.518          
86              0.754           0.557          
87              0.837           0.597          
88              0.908           0.676          
89              0.965           0.642          
90              0.937           0.573          
91              0.968           0.514          
92              0.906           0.493          
93              0.829           0.505          
94              0.759           0.449          
95              0.684           0.429          
96              0.616           0.400          
97              0.566           0.332          
98              0.456           0.270          
99              0.411           0.220          
100             0.383           0.183          
101             0.277           0.132          
102             0.209           0.104          
103             0.096           0.100          
104             0.049           0.109          
105             0.045           0.026          
106             0.167           0.039          
107             0.206           0.043          
108             0.250           0.039          
109             0.304           0.044          
110             0.365           0.075          
111             0.391           0.007          
112             0.437           0.084          
113             0.442           0.155          
114             0.478           0.183          
115             0.525           0.238          
116             0.576           0.277          
117             0.647           0.332          
118             0.695           0.320          
119             0.734           0.352          
120             0.801           0.361          
121             0.842           0.408          
122             0.870           0.338          
123             0.944           0.436          
124             0.978           0.335          
125             0.905           0.273          
126             0.965           0.270          
127             0.957           0.192          
128             0.776           0.266          
129             0.720           0.217          
130             0.673           0.140          
131             0.598           0.148          
132             0.511           0.094          
133             0.486           0.017          
134             0.566           0.048          
135             0.659           0.026          
136             0.706           0.064          
137             0.748           0.039          
138             0.760           0.150          
139             0.801           0.134          
140             0.851           0.154          
141             0.879           0.100          
142             0.913           0.037          
143             0.969           0.019          
