6,8,7,45,42,43,,,,
56,60,61,59,,,,,,
9,33,32,31,14,,,,,
20,28,27,26,,,,,,
10,21,82,84,17,79,80,18,20,26
19,71,52,80,79,,,,,
4,10,26,27,22,25,,,,
3,14,31,28,20,18,81,,,
7,51,55,12,40,50,48,45,,
68,77,69,70,72,,,,,
2,35,33,9,55,51,30,,,
16,32,33,35,37,29,,,,
11,53,13,47,57,,,,,
13,78,52,71,66,47,,,,
49,59,61,62,65,63,,,,
17,75,76,19,79,,,,,
7,8,39,30,51,,,,,
16,24,22,27,28,31,32,,,
11,57,56,59,49,40,12,54,,
60,72,70,62,61,,,,,
11,54,15,53,,,,,,
29,37,36,34,,,,,,
3,81,78,13,53,15,,,,
74,86,84,82,85,,,,,
18,80,52,78,81,,,,,
47,66,68,72,60,56,57,,,
3,15,54,12,55,9,14,,,
