              Name           Packing           VoroMQA             SBROD             3DCNN             ProQ2             ProQ3        ProteinPro               GDT
    t0968s2ts389_3         49.035480          0.368031          1.328731          0.392280          0.206118          0.210861         24.856281         19.348000
    t0968s1ts322_3         55.617897          0.337199          1.372070          0.667070          0.337150          0.253501         46.506279         69.915000
    t0968s2ts473_5         63.741417          0.280813          1.294668          0.335550          0.129385          0.094327         13.441673         21.957000
      t1005ts058_3         52.689987          0.373507          1.546488          0.565710          0.359485          0.349805         87.772264         47.929000
      t0963ts312_2         10.018599          0.076485          1.248678          0.036460         -0.119797         -0.177218         33.378445          5.014000
    t0957s2ts274_5         59.971878          0.440549          1.512560          0.654420          0.391365          0.244236         47.274060         45.886000
    t0968s1ts426_2         34.746841          0.301290          1.383877          0.587380          0.290779          0.265023          5.078676         41.102000
      t0954ts214_3         80.581047          0.538528          1.790447          0.809750          0.626553          0.607099         60.557866         66.374000
    t0968s2ts377_4         33.153622          0.493124          1.462207          0.532470          0.294734          0.290213         90.612474         45.870000
      t0954ts160_4         50.364288          0.379954          1.592147          0.377420          0.438685          0.254912         22.261209         42.178000
      t1011ts351_4         32.287235          0.233070          1.369921          0.244530          0.260211          0.235307         74.555445         18.187000
    t0968s2ts337_1         10.406235          0.370565          1.408750          0.504070          0.371936          0.381312          3.959035         18.478000
      t0954ts497_1         26.857218          0.176102          1.294245          0.051240          0.126478          0.080481         53.214044          9.649000
      t1003ts402_1         86.914459          0.366560          1.752378          0.737940          0.506680          0.510356         90.477452         86.809000
      t1005ts460_2         52.324123          0.446260          1.593419          0.566640          0.399673          0.359877         56.554315         50.307000
    t0968s1ts344_1         27.951435          0.295270          1.357493          0.480490          0.290336          0.234361         31.853287         45.127000
    t0968s1ts149_2          8.373064          0.152179          1.350595          0.227700          0.129015          0.134336         37.228791         27.754000
      t0954ts365_5         13.532303          0.154658          1.357798          0.118800          0.152399          0.006358        -14.072952          8.991000
    t0957s2ts071_4         61.892033          0.309313          1.410795          0.354900          0.395566          0.273965         20.530404         23.101000
    t0968s2ts381_1         18.740887          0.180601          1.349963          0.064900          0.091915          0.040474         51.189135         39.565000
    t0953s2ts281_1          8.962001          0.172468          1.268929          0.194730          0.178033          0.012003        -16.317508          6.552000
      t0963ts117_3         22.370327          0.117881          1.278153          0.028250         -0.053516         -0.145450         38.987758          8.860000
      t1011ts043_1         24.391756          0.374331          1.565142          0.563100          0.398147          0.383873         37.894165         48.818000
      t0954ts196_1         80.581047          0.517585          1.815226          0.804300          0.621779          0.597846         56.948376         66.374000
      t0951ts312_4         69.056877          0.435750          1.676664          0.847240          0.665621          0.694143         75.116886         90.883000
    t0968s2ts351_3         16.742393          0.299009          1.400965          0.276970          0.233634          0.284394         41.549410         59.565000
      t0963ts470_1         13.654426          0.187460          1.368821          0.248290         -0.091231         -0.190045         34.274491         20.261000
    t0953s2ts368_2         47.256844          0.343598          1.385531          0.524190          0.363548          0.375730         44.327879         22.480000
      t1011ts377_3         60.822006          0.397123          1.523685          0.511310          0.367302          0.357410         44.646989         40.146000
    t0957s2ts401_2         30.634033          0.346939          1.403583          0.458800          0.212778          0.118588         67.749113         24.684000
    t0953s2ts492_4         71.547409          0.304507          1.421093          0.513270          0.374085          0.272304         -3.305818         14.919000
