           time                 xpos                 ypos
       0.000000             0.000000             0.000000
       0.062500             0.352450            -0.935831
       0.125000             1.282386            -0.568110
       0.187500             1.937251             0.187636
       0.250000             2.834441             0.629280
       0.312500             3.770458             0.277326
       0.375000             4.170330            -0.639245
       0.437500             4.786159            -1.427124
       0.500000             5.726839            -1.766420
       0.562500             6.542333            -2.345186
       0.625000             7.308223            -1.702214
       0.687500             6.767822            -2.543622
       0.750000             7.464124            -3.261371
       0.812500             6.773918            -3.984984
       0.875000             7.442976            -3.241774
       0.937500             8.100685            -3.995046
       1.000000             9.081935            -3.802310
       1.062500             8.084548            -3.874552
       1.125000             7.363691            -3.181468
       1.187500             6.876856            -4.054962
       1.250000             7.764333            -4.515813
       1.312500             6.872648            -4.968469
       1.375000             7.477214            -5.765024
       1.437500             8.468701            -5.634817
       1.500000             7.576106            -5.183957
       1.562500             8.073680            -4.316536
       1.625000             9.010905            -4.665262
       1.687500             9.786820            -4.034424
       1.750000             9.805683            -3.034602
       1.812500             9.600350            -2.055910
       1.875000             9.192213            -2.968830
       1.937500            10.169646            -2.757586
       2.000000             9.254826            -2.353726
       2.062500            10.251660            -2.433235
       2.125000             9.255766            -2.523762
       2.187500             8.274195            -2.714858
       2.250000             7.530409            -2.046440
       2.312500             8.291539            -2.695038
       2.375000             8.583942            -1.738743
       2.437500             7.641888            -1.403281
       2.500000             6.898987            -2.072683
       2.562500             5.947297            -2.379742
       2.625000             5.090612            -1.863901
       2.687500             5.593079            -2.728498
       2.750000             5.745956            -3.716743
       2.812500             4.943875            -4.313958
       2.875000             5.594645            -5.073234
       2.937500             6.133077            -5.915903
       3.000000             6.462860            -4.971846
       3.062500             5.479136            -5.151529
       3.125000             6.452477            -5.380889
       3.187500             7.440514            -5.535107
       3.250000             6.502598            -5.188244
       3.312500             5.545289            -5.477310
       3.375000             6.293422            -6.140859
       3.437500             5.935066            -7.074444
       3.500000             6.605252            -6.332251
       3.562500             5.695032            -6.746375
       3.625000             6.556819            -7.253644
       3.687500             6.042232            -8.111082
       3.750000             5.551659            -7.239682
       3.812500             6.263443            -6.537284
       3.875000             7.144069            -6.063473
       3.937500             6.149836            -6.170707
       4.000000             5.997209            -7.158991
       4.062500             6.859402            -6.652411
       4.125000             6.679749            -7.636141
       4.187500             6.553967            -6.644083
       4.250000             5.806307            -5.980002
       4.312500             4.866971            -5.637004
       4.375000             4.039953            -6.199179
       4.437500             3.887072            -5.210934
       4.500000             4.645099            -4.558711
       4.562500             5.402609            -3.905887
       4.625000             6.192447            -4.519203
       4.687500             6.070845            -3.526624
       4.750000             6.746303            -4.264023
       4.812500             6.522599            -3.289366
       4.875000             7.235220            -3.990914
       4.937500             8.201345            -4.248992
       5.000000             7.396696            -4.842744
       5.062500             8.396410            -4.818802
       5.125000             8.053844            -5.758296
       5.187500             8.634336            -4.944030
       5.250000             9.633832            -4.912289
       5.312500             8.794442            -5.455819
       5.375000             9.144568            -6.392521
       5.437500             8.590641            -5.559956
       5.500000             8.387311            -6.539066
       5.562500             7.803063            -5.727491
       5.625000             8.761001            -5.440516
       5.687500             8.352481            -4.527766
       5.750000             7.848756            -3.663902
       5.812500             8.466952            -4.449926
       5.875000             9.377192            -4.864007
       5.937500             9.319216            -5.862324
       6.000000             9.797998            -4.984390
       6.062500             9.144373            -5.741209
       6.125000             8.457890            -6.468355
       6.187500             9.335390            -5.988779
       6.250000             9.083687            -6.956583
       6.312500             8.091513            -7.081445
       6.375000             7.144921            -7.403879
       6.437500             8.136907            -7.277533
       6.500000             7.233631            -7.706593
       6.562500             6.520319            -8.407439
       6.625000             6.741614            -9.382646
       6.687500             7.399071            -8.629153
       6.750000             8.398950            -8.644667
       6.812500             9.128944            -9.328121
       6.875000             8.569761            -8.499077
       6.937500             9.457473            -8.038677
       7.000000            10.223660            -8.681294
       7.062500            10.556350            -9.624331
       7.125000            10.344759           -10.601689
       7.187500             9.696946           -11.363489
       7.250000            10.351434           -12.119561
       7.312500             9.538980           -11.536536
       7.375000             9.636848           -12.531735
       7.437500            10.618736           -12.721198
       7.500000            10.829665           -13.698699
       7.562500            11.255210           -14.603636
       7.625000            11.015974           -13.632675
       7.687500            10.084033           -13.995286
       7.750000            11.068404           -13.819180
       7.812500            10.675101           -14.738589
       7.875000            11.398551           -15.428967
       7.937500            11.650636           -16.396672
       8.000000            11.347213           -17.349528
       8.062500            10.843340           -18.213305
       8.125000            11.770222           -18.588657
       8.187500            11.197986           -19.408746
       8.250000            10.408124           -20.022030
       8.312500             9.508894           -19.584555
       8.375000             8.547861           -19.308122
       8.437500             9.345368           -18.704812
       8.500000             9.820172           -17.824721
       8.562500             8.952188           -17.328128
       8.625000             8.015941           -17.679468
       8.687500             8.987624           -17.443183
       8.750000             9.453375           -18.328099
       8.812500             8.768095           -19.056379
       8.875000             8.190194           -18.240272
       8.937500             8.762422           -19.060366
       9.000000             8.671084           -20.056186
       9.062500             8.374185           -21.011095
       9.125000             8.304173           -22.008641
       9.187500             7.409025           -21.562872
       9.250000             7.751338           -20.623286
       9.312500             8.030215           -19.662959
       9.375000             7.195389           -19.112445
       9.437500             6.555942           -19.881280
       9.500000             5.617727           -20.227332
       9.562500             6.612989           -20.130104
       9.625000             7.103642           -19.258749
       9.687500             6.661609           -18.361751
       9.750000             5.948815           -19.063124
       9.812500             6.478326           -18.214821
       9.875000             7.478325           -18.213467
       9.937500             6.861655           -17.426245
      10.000000             7.444075           -18.239133
      10.062500             8.029011           -19.050212
      10.125000             8.585125           -18.219106
      10.187500             8.015149           -17.397445
      10.250000             8.958803           -17.728379
      10.312500             8.684250           -18.689951
      10.375000             9.500548           -19.267583
      10.437500            10.498133           -19.337038
      10.500000             9.985364           -18.478511
      10.562500            10.411448           -19.383195
      10.625000             9.417608           -19.494024
      10.687500             8.785832           -20.269174
      10.750000             8.108078           -21.004463
      10.812500             9.043767           -21.357289
      10.875000             8.164479           -21.833580
      10.937500             7.623196           -20.992740
      11.000000             6.864072           -21.643685
      11.062500             7.567321           -20.932742
      11.125000             6.917377           -20.172761
      11.187500             5.933465           -19.994105
      11.250000             5.434028           -20.860455
      11.312500             5.922324           -19.987777
      11.375000             4.927643           -20.090785
      11.437500             3.966637           -20.367311
      11.500000             2.970959           -20.460185
      11.562500             2.898664           -19.462801
      11.625000             3.190011           -18.506184
      11.687500             4.000274           -19.092250
      11.750000             4.962184           -18.818882
      11.812500             4.079251           -19.288382
      11.875000             3.556477           -18.435911
      11.937500             4.136565           -19.250465
      12.000000             3.280806           -18.733090
      12.062500             4.008431           -18.047115
      12.125000             3.022900           -17.877624
      12.187500             4.022715           -17.896841
      12.250000             4.716976           -18.616565
      12.312500             5.111247           -17.697571
      12.375000             4.849023           -18.662578
      12.437500             5.278968           -19.565433
      12.500000             5.016447           -20.530360
      12.562500             4.182451           -21.082130
      12.625000             5.095150           -21.490761
      12.687500             5.173113           -22.487718
      12.750000             5.940265           -21.846253
      12.812500             6.926030           -21.678127
      12.875000             7.872172           -22.001879
      12.937500             7.033570           -22.546623
      13.000000             6.172982           -22.037321
      13.062500             5.193540           -21.835596
      13.125000             4.262014           -22.199272
      13.187500             4.907774           -21.435731
      13.250000             5.651241           -20.766959
      13.312500             5.757745           -19.772647
      13.375000             6.637756           -20.247600
      13.437500             7.029530           -21.167662
      13.500000             7.719632           -20.443949
      13.562500             8.364388           -19.679561
      13.625000             7.412507           -19.373090
      13.687500             6.754358           -18.620203
